program_id,university,university_short,city,state,program_name_official,program_type,degree,ects,duration_semesters,language_of_instruction,specializations,ai_ml_focus_score,visual_computing_focus_score,software_engineering_focus_score,general_cs_breadth_score,ws_26_27_intake_status,ws_26_27_deadline_non_eu,application_route,application_portal_url,vpd_required,ielts_minimum,toefl_minimum,moi_letter_accepted,gpa_cutoff_german_scale,ects_prerequisites,ects_prereq_assessment,gre_required,gate_accepted,gre_recommended,aps_required,tuition_per_semester_eur,semester_contribution_eur,application_fee_eur,paper_documents_required,brand_score,application_convenience_score,document_burden_score,admit_probability_score,city_liveability_score,career_outcomes_score,vpd_score,composite_priority_score,admit_difficulty_tier,notes,primary_source_url,application_source_url,last_verified_date
uni_passau__msc_cs,Universität Passau,Pass,Passau,Bayern,M.Sc. Computer Science,msc_cs_specialized,M.Sc.,120,4,English (selected tracks),"InfComm; ITS; ITSecRel",3,3,4,4,open,2026-05-31,uni-assist,https://www.uni-passau.de/en/apply/apply-with-intl-qualifications,true,6.0,unverified,unverified,2.7 (applicant 2.4 clears),standard CS,likely_pass,false,unverified,false,true,0,80,75,unverified,3,4,4,5,3,3,1,37,target,Lowest semester fee in Germany. GPA cutoff 2.7 — applicant clears.,https://www.uni-passau.de/en/msc-computer-science,https://www.uni-passau.de/en/apply/apply-with-intl-qualifications,2026-05-04
uni_potsdam__msc_cs,Universität Potsdam,UP,Potsdam,Brandenburg,M.Sc. Computer Science,msc_cs_specialized,M.Sc.,120,4,English,"6 tracks + Open Track",4,3,3,4,open,2026-06-01,uni-assist,https://www.uni-potsdam.de/en/studium/application-enrollment/application-master/consecutive,true,7.0,95,unverified,unverified,standard CS,likely_pass,false,unverified,false,true,0,320,75,unverified,3,4,3,4,4,4,1,37,target,Joint Faculty of Digital Engineering with HPI but admits separately.,https://www.uni-potsdam.de/en/studium/what-to-study/master/computer-science,https://www.uni-potsdam.de/en/studium/application-enrollment/application-master/consecutive,2026-05-04
tu_dresden__msc_cms,TU Dresden,TUD,Dresden,Sachsen,M.Sc. Computational Modeling and Simulation,msc_other,M.Sc.,120,4,English,"7 application tracks: incl. Visual Computing; Applied AI; HPC",4,3,2,3,open,2026-05-31,uni-assist,https://tu-dresden.de/ing/informatik/studium/studienangebot/master-studiengaenge/computational-modeling-and-simulation/application,true,6.0,80,true,unverified,math/CS background,likely_pass,false,unverified,false,true,0,290,75,unverified,4,3,4,4,4,4,1,36,target,Lower IELTS bar (6.0) than TUD MSc CS. Application tracks include Visual Computing. Easier route to TUD brand.,https://tu-dresden.de/ing/informatik/studium/studienangebot/master-studiengaenge/computational-modeling-and-simulation,https://tu-dresden.de/ing/informatik/studium/studienangebot/master-studiengaenge/computational-modeling-and-simulation/application,2026-05-04
uni_bielefeld__msc_iisy,Universität Bielefeld,UBie,Bielefeld,NRW,M.Sc. Intelligent Systems / IISY,msc_ai,M.Sc.,120,4,English,Intelligent Interactive Systems,5,3,3,3,open,2026-07-15,direct,https://www.uni-bielefeld.de/fakultaeten/technische-fakultaet/studium/master/iisy/,unverified,5.5,unverified,unverified,2.7 (applicant 2.4 clears),30 CS + 10 Math + 30 in intelligent-systems methods (ML/AI/pattern recognition/robotics),likely_pass,false,unverified,false,true,0,350,unverified,unverified,3,4,4,4,3,3,1,36,target,Strong AI/ML signal (intelligent systems core). Cutoff 2.7 cleared by applicant.,https://www.uni-bielefeld.de/fakultaeten/technische-fakultaet/studium/master/iisy/,https://www.uni-bielefeld.de/fakultaeten/technische-fakultaet/studium/master/iisy/,2026-05-04
uni_bonn__msc_cysec,Universität Bonn,Bonn,Bonn,NRW,M.Sc. Cyber Security,msc_cyber_security,M.Sc.,120,4,English,"Cybersecurity; Cryptography; System Security",3,2,4,3,open,2026-06-01,uni-assist,https://www.informatik.uni-bonn.de/en/for-students/master-of-science-in-cyber-security/application,true,7.0,unverified,false,no published cutoff,similar to MSc CS + security focus,likely_pass,false,unverified,false,true,0,350,75,unverified,5,3,3,2,5,5,1,36,reach,Same selectivity (<5%) as Bonn MSc CS. Strong cybersecurity research.,https://www.informatik.uni-bonn.de/en/studies/master-programs/master-cyber-security/msc-cysec,https://www.informatik.uni-bonn.de/en/for-students/master-of-science-in-cyber-security/application,2026-05-04
uni_koeln__msc_compsci,Universität Köln,UKo,Köln,NRW,M.Sc. Computational Sciences,msc_other,M.Sc.,120,4,English,"computational methods (CS-heavy)",3,2,2,3,open,2026-07-15,uni-assist + direct,https://mathnat.uni-koeln.de/en/studies/master/computational-sciences,true,5.5,72,unverified,unverified,standard CS+math,borderline,false,unverified,false,true,0,330,75,unverified,4,4,3,4,5,4,1,35,target,Math-Nat faculty; CS-heavy. KLIPS 2.0 portal after uni-assist VPD.,https://mathnat.uni-koeln.de/en/studies/master/computational-sciences,https://mathnat.uni-koeln.de/en/studies/master/computational-sciences,2026-05-04
uni_kassel__msc_cs,Universität Kassel,UKas,Kassel,Hessen,M.Sc. Computer Science,msc_cs_specialized,M.Sc.,120,4,English (from WS 26/27),"CIDA (Computational Intelligence & Data Analytics); SW Development; CS for Digital Society; Environmental Computing",3,2,4,4,open,2026-07-15,uni-assist,https://www.uni-kassel.de/uni/en/studium/computer-science-master.html,true,6.5,unverified,unverified,unverified,standard CS,likely_pass,false,unverified,false,true,0,300,75,unverified,3,4,4,4,3,3,1,35,target,New English-only program from WS 26/27. Verify English transition details.,https://www.uni-kassel.de/uni/en/studium/computer-science-master.html,https://www.uni-kassel.de/uni/en/studium/computer-science-master.html,2026-05-04
uni_kiel__msc_cs,Universität Kiel,CAU,Kiel,Schleswig-Holstein,M.Sc. Computer Science (English),msc_cs_general,M.Sc.,120,4,English,broad CS,3,2,3,4,open,2026-07-15,uni-assist (non-German degree),https://www.inf.uni-kiel.de/en/studies/programs/computer-science-master-program-in-english,true,5.5 (B1),unverified,unverified,no minimum stated,no specific cutoff,likely_pass,false,unverified,false,true,0,260,75,unverified,3,4,4,5,3,3,1,35,target,Lowest English bar (B1). No GPA cutoff. Aptitude assessment.,https://www.inf.uni-kiel.de/en/studies/programs/computer-science-master-program-in-english,https://www.inf.uni-kiel.de/en/studies/programs/computer-science-master-program-in-english,2026-05-04
uni_regensburg__msc_cs,Universität Regensburg,URegb,Regensburg,Bayern,M.Sc. Computer Science,msc_cs_specialized,M.Sc.,120,4,English,"Core CS; Bioinformatics; Human-Centred Computing; Information Systems",3,2,3,3,open,2026-06-01,uni-assist,https://www.uni-regensburg.de/en/informatics-data-science/study/prospective-students/msc-computer-science/application-amp-admission,true,6.0,unverified,true,unverified,standard CS,likely_pass,false,unverified,false,true,0,100,75,unverified,3,4,5,5,3,3,1,35,target,New international program. MOI accepted (English-thesis exempts). Bavaria — low fee.,https://www.uni-regensburg.de/en/informatics-data-science/study/prospective-students/msc-computer-science,https://www.uni-regensburg.de/en/informatics-data-science/study/prospective-students/msc-computer-science/application-amp-admission,2026-05-04
ovgu_magdeburg__msc_visual_computing,OVGU Magdeburg,OVGU,Magdeburg,Sachsen-Anhalt,M.Sc. Visual Computing,msc_visual_computing,M.Sc.,120,4,English,Visual Computing (named program),3,5,2,2,open,2026-05-15,uni-assist,https://www.ovgu.de/unimagdeburg/en/mscvisualcomputing-p-113464.html,true,7.0,95,unverified,2.5 (applicant 2.4 clears),Bachelor in CS/eng/math/physics or related,likely_pass,false,unverified,false,true,0,130,75,unverified,3,4,4,5,3,3,1,35,target,**Strongest VC fit.** GPA cutoff 2.5 — applicant 2.4 clears. 11 days to deadline.,https://www.ovgu.de/unimagdeburg/en/Study/Study+Programmes/Master/Visual+Computing-p-17624.html,https://www.ovgu.de/unimagdeburg/en/mscvisualcomputing-p-113464.html,2026-05-04
leibniz_hannover__msc_ai_mechrob,Leibniz Universität Hannover,LUH,Hannover,Niedersachsen,M.Sc. AI-driven Mechatronics & Robotics,msc_ai,M.Sc.,120,4,English,"robotics; AI-driven control; mechatronics",5,3,2,2,open,2026-05-31,uni-assist + direct,https://www.maschinenbau.uni-hannover.de/en/study/range-of-courses-offered-by-the-faculty/master-programmes/ai-driven-mechatronics-and-robotics,true,7.0,unverified,unverified,no published cutoff,Mech Eng faculty — control/mechatronics ECTS audit risk for pure-IT BTech,borderline,false,unverified,false,true,0,411,75,unverified,4,3,3,3,3,4,1,33,target,Pure-IT BTech may face ECTS audit issues for mech/EE prerequisites. Verify subject-relatedness.,https://www.uni-hannover.de/en/studium/studienangebot/info/studiengang/detail/ai-driven-mechatronics-and-robotics,https://www.maschinenbau.uni-hannover.de/en/study/range-of-courses-offered-by-the-faculty/master-programmes/ai-driven-mechatronics-and-robotics,2026-05-04
ovgu_magdeburg__msc_digital_engineering,OVGU Magdeburg,OVGU,Magdeburg,Sachsen-Anhalt,M.Sc. Digital Engineering,msc_other,M.Sc.,120,4,English,"digital twin; simulation; virtual engineering",3,2,3,2,open,2026-05-15,uni-assist,https://www.ovgu.de/unimagdeburg/en/International/Incoming+_+Ways+to+the+University/International+Students/Full_Time+Studies/Applying+via+uni_assist+e_V_-p-107054.html,true,6.5,unverified,unverified,unverified,≥20 CP CS courses (or 1 yr CS work experience compensates 10 CP),likely_pass,false,unverified,false,true,0,130,75,unverified,3,4,4,5,3,3,1,33,target,Lower English bar (B2). 11 days to deadline. Pure CS Bachelor easily meets 20 CP requirement.,https://www.ovgu.de/unimagdeburg/en/Study/Study+Programmes/Study+Programmes+in+English/Digital+Engineering-p-17626.html,https://www.ovgu.de/unimagdeburg/en/International/Incoming+_+Ways+to+the+University/International+Students/Full_Time+Studies/Applying+via+uni_assist+e_V_-p-107054.html,2026-05-04
uni_rostock__msc_csi,Universität Rostock,URo,Rostock,Mecklenburg-Vorpommern,M.Sc. Computer Science International,msc_cs_specialized,M.Sc.,120,4,English,"Information Systems; Complex Systems",3,2,3,3,open,2026-05-31,uni-assist,https://www.uni-rostock.de/en/study/international-students/degree-students/application-for-non-german-prospective-students-via-uni-assist/,true,7.0,unverified,unverified,implicit (180 CP CS path or 85% CGPA),≥180 CP first degree in CS OR ≥85% CGPA + ≥18 CP Math + ≥12 CP Theoretical CS,likely_pass,false,unverified,false,true,0,110,75,unverified,3,4,4,4,3,3,1,33,target,4-yr BTech IT likely qualifies as 180 CP CS first degree (skipping 85% bar). Verify ECTS in Math and Theoretical CS.,https://www.informatik.uni-rostock.de/studium-lehre/master-studiengaenge/computer-science-international/,https://www.uni-rostock.de/en/study/international-students/degree-students/application-for-non-german-prospective-students-via-uni-assist/,2026-05-04
uni_ulm__msc_cse,Universität Ulm,UUlm,Ulm,Baden-Württemberg,M.Sc. Computational Science and Engineering,msc_other,M.Sc.,120,4,English,CS-heavy CSE,3,2,3,3,open,2026-07-15,uni-assist,https://www.uni-ulm.de/en/study/study-at-ulm-university/study-programmes/course-information/course/computational-science-and-engineering-master/,true,6.5,unverified,unverified,2.7 (applicant 2.4 clears),CS+math fundamentals,likely_pass,false,unverified,false,true,1500,165,75,unverified,3,4,3,4,3,3,1,32,target,€1500/sem at applicant tolerance limit. Verify exact non-EU deadline.,https://www.uni-ulm.de/en/study/study-at-ulm-university/study-programmes/course-information/course/computational-science-and-engineering-master/,https://www.uni-ulm.de/en/study/study-at-ulm-university/study-programmes/course-information/course/computational-science-and-engineering-master/,2026-05-04
btu__msc_cs,BTU Cottbus-Senftenberg,BTU,Cottbus,Brandenburg,M.Sc. Computer Science,msc_cs_specialized,M.Sc.,120,4,English,"Software/Data; Traditional CS",2,2,3,3,open,2026-07-15,uni-assist,https://www.b-tu.de/en/study/before-studying/application-admission-enrollment/master-degree-programmes,true,6.0,79,false,no specific cutoff,closely related Bachelor,likely_pass,false,unverified,false,true,0,341,75,unverified,2,4,4,5,2,2,1,30,safety,Lower-tier prestige; high admit probability. IELTS 6.0 / TOEFL 79 — comfortable.,https://www.b-tu.de/en/informatik-ms,https://www.b-tu.de/en/study/before-studying/application-admission-enrollment/master-degree-programmes,2026-05-04
btu__msc_ai,BTU Cottbus-Senftenberg,BTU,Cottbus,Brandenburg,M.Sc. Artificial Intelligence,msc_ai,M.Sc.,120,4,English,"ML; AI core; symbolic/sub-symbolic AI",4,2,2,2,open,2026-07-15,uni-assist,https://www.b-tu.de/en/study/before-studying/application-admission-enrollment/master-degree-programmes,true,6.0,79,false,no specific cutoff,closely related Bachelor with strong ML/probability/discrete-math/programming,borderline,false,unverified,false,true,0,341,75,unverified,2,4,4,4,2,2,1,29,safety,Transcript fit risk — BTech IT may need supplementary justification. SOP must demonstrate ML/probability prep.,https://www.b-tu.de/en/artificial-intelligence-ms,https://www.b-tu.de/en/study/before-studying/application-admission-enrollment/master-degree-programmes,2026-05-04
btu__msc_cyber_security,BTU Cottbus-Senftenberg,BTU,Cottbus,Brandenburg,M.Sc. Cyber Security,msc_cyber_security,M.Sc.,120,4,English,Cyber Security,2,2,3,2,open,2026-07-15,uni-assist,https://www.b-tu.de/en/cybersecurity-ms/admission,true,6.0,79,false,no specific cutoff,closely related Bachelor,likely_pass,false,unverified,false,true,0,341,75,unverified,2,4,4,5,2,2,1,29,safety,Strong safety pick. International programme.,https://www.b-tu.de/en/cybersecurity-ms,https://www.b-tu.de/en/cybersecurity-ms/admission,2026-05-04
